nome, via/piazza, numero civico, cap, comune, provincia, userID, aree
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
Centro Prova,Via Regina Teodolinda,37,Como,CO,Italia,2,123456-1234567-123456
